Distance_Intervals,VenderID,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
ZERO_TWO,FOUR,3.0,1,2.0,2,1.0,1342,1.99,6,1.98,5,1.97,2,1.0,444,0.5,152,0.0,749,9.0,1,7.16,1,5.96,1,42.98,1,35.76,1,27.96,1,32.52,1,10.5,3,0.0,1341,748.0,1,746.0,1,741.0,1,1.0029739776951674,1.0723272500871281,1.20715250348513,10.133317843866172,0.0475985161877033,10.103345724907063,1345
TWO_FIVE,FOUR,1.0,521,0.0,0,0.0,0,4.98,1,4.93,2,4.92,1,1.0,169,0.5,59,0.0,293,15.0,1,10.0,1,7.44,1,42.3,1,36.63,1,36.0,1,10.5,1,5.76,2,5.54,3,767.0,1,755.0,1,752.0,2,1.0,2.972015673734405,2.3153746269943616,18.736562425023994,0.07416506600700276,27.322456813819578,521
FIVE_TWENTY,FOUR,1.0,326,0.0,0,0.0,0,19.95,1,19.94,1,19.78,1,18.0,1,17.5,5,4.5,10,22.77,1,20.0,2,18.92,2,113.87,1,113.52,1,111.72,1,12.5,3,10.5,4,5.76,86,797.0,1,782.0,1,767.0,1,1.0,11.564939159557133,6.387239233847776,48.27000455329755,2.6548469403038726,34.31901840490798,326
TWENTY_TWOHUNDRED,FOUR,1.0,36,0.0,0,0.0,0,33.97,1,31.21,1,30.42,1,18.0,1,17.5,1,1.0,1,20.0,1,17.57,1,15.06,1,187.06,1,137.8,1,134.06,1,28.8,1,25.0,1,16.5,1,775.0,1,774.0,1,768.0,1,1.0,23.134443495008682,7.914722018771702,81.48028564453125,6.957221984863281,95.94444444444444,36
ZERO_TWO,ONE,9.0,4,8.0,1,7.0,12,1.9,553284,1.8,601086,1.7,656861,81.92,1,60.0,1,40.0,1,400.0,1,389.0,1,375.0,1,349116.78,1,234632.69,1,214750.23,1,980.8,1,911.61,1,860.92,1,1519.0,1,986.0,1,890.0,1,1.2139604879259867,1.059680885116606,1.0990816889763089,9.63151396970624,0.01173693898528689,7.72431525732955,14145752
TWO_FIVE,ONE,9.0,4,8.0,1,7.0,5,4.9,73212,4.8,76764,4.7,79497,96.64,1,69.8,2,66.66,7,300.0,1,230.0,1,209.0,1,8016.8,1,4010.3,1,3014.3,1,877.76,1,805.76,1,795.76,1,1964.0,1,1297.0,1,1239.0,1,1.2499551781431943,2.958923096382945,1.969242893650488,16.94243059657365,0.03358872057366146,17.214751840773328,6174443
FIVE_TWENTY,ONE,9.0,8,8.0,3,7.0,1,19.9,5274,19.8,5530,19.7,5853,20.2,1,19.0,1,17.9,1,256.94,1,250.0,2,243.0,1,8017.3,1,6023.8,1,4023.8,1,1650.0,1,950.7,1,918.23,1,953.0,1,886.0,1,877.0,1,1.2772558308231179,9.724323689224834,4.7027358935543795,40.04364897057046,2.1113360703053297,29.590334890262863,2936335
TWENTY_TWOHUNDRED,ONE,6.0,114,5.0,170,4.0,3653,189.6,1,153.1,1,152.9,1,14.5,1,12.05,1,4.54,3,310.0,1,300.0,1,260.0,1,8019.6,1,1006.55,1,1004.8,1,918.25,1,910.5,1,765.76,2,988.0,1,984.0,1,958.0,1,1.3553515038170278,23.179938758929392,8.2025525416194,76.91502130790693,5.1559419742772175,59.961753073550604,130468
TWOHUNDRED_PLUS,ONE,4.0,1,3.0,2,2.0,2,1061.2,1,943.5,1,910.8,1,1.0,3,0.0,17,0.0,0,82.55,1,70.05,1,62.55,1,950.3,1,730.32,1,610.8,1,30.02,1,18.26,1,17.26,1,609.0,1,378.0,1,349.0,1,1.35,494.05498046875,11.405001068115235,236.4254638671875,5.3470001220703125,145.95,20
ZERO_TWO,TWO,192.0,1,9.0,92,8.0,117,1.99,68089,1.98,68742,1.97,69089,25.0,1,5.3,2,4.8,1,496.0,1,441.71,1,411.0,1,5726.3,1,2694.8,1,2310.3,1,159.0,1,99.0,3,98.0,1,8852.0,1,7041.0,1,5697.0,1,1.8823208779463876,1.1045080556415834,1.1177359594923393,9.699094740649716,0.011916728095282792,11.386299111255052,18069076
TWO_FIVE,TWO,9.0,2,8.0,1,7.0,1,4.99,9456,4.98,9664,4.97,9770,4.5,2065,3.4,1,1.8,16,441.11,1,422.0,1,411.5,1,4026.3,1,495.8,1,462.8,1,244.0,1,59.0,1,57.8,1,2158.0,3,2157.0,7,2156.0,9,1.885792135709478,3.0092595417613364,1.9606957327403973,16.91753036545645,0.03252523203336947,22.260996912240763,8030095
FIVE_TWENTY,TWO,9.0,26,8.0,31,7.0,33,19.99,817,19.98,836,19.97,882,4.8,19,4.5,103584,2.8,1,415.0,1,400.0,1,362.7,1,495.04,1,485.04,1,464.1,1,143.0,1,63.0,1,62.57,1,2158.0,1,2157.0,1,2156.0,3,1.873293887656787,10.007617428247666,4.811081574874754,40.928703893375896,2.189049147639476,40.55566351740658,4222685
TWENTY_TWOHUNDRED,TWO,9.0,8,8.0,11,7.0,6,195.9,1,181.04,1,178.44,1,4.8,5,4.5,20068,1.6,1,250.0,2,222.0,1,200.5,1,943.81,1,916.8,1,607.3,1,103.32,1,97.26,1,96.0,1,2151.0,1,2148.0,1,2146.0,1,1.8133564436244018,23.30809139747371,8.494126910908896,79.10441099043439,5.169632914459307,70.52200835884318,214623
TWOHUNDRED_PLUS,TWO,4.0,1,3.0,2,1.0,7,189483.84,1,484.91,1,325.28,1,1.0,3,0.0,7,0.0,0,0.0,10,0.0,0,0.0,0,2417.81,1,1177.8,1,1034.8,1,50.76,1,24.76,1,12.5,2,674.0,1,478.0,1,387.0,1,1.7,19184.41875,0.0,625.85,11.329000091552734,273.3,10
